OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,full_address,Latitude,Longitude
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,"I-10, EXIT 343, Jacksonville, FL",30.3262247,-81.6579179
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,"I-10, EXIT 343, Jacksonville, FL",30.3262247,-81.6579179
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,"I-12, EXIT 10 AT MILE 10, Denham Springs                          , LA",30.4868564,-90.9562125
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,"I-94, EXIT 15 B, Lake Station                            , IN",41.5750369,-87.2389246
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,"RT 2 & I-65 EXIT 240, Hebron, IN",42.4716853,-88.432318
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,"US-59 & SR-224, Nacogdoches                             , TX",31.5970503,-94.5927451
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,"I-29 & I-80, EXIT 1B, Council Bluffs, IA",41.258841,-95.8519484
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,"I-90, EXIT 154 & US-16, Moorcroft                               , WY",44.263315,-104.950252
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,"I-35, EXIT 165 & SR-3, Latimer, IA",34.8759191,-95.2482652
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,"I-35, EXIT 193 & SR 106, Clear Lake, IA",43.1370751,-93.3813637
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,"I-80, EXIT 93, Stuart                                  , IA",27.197983,-80.2519175
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,"I-40 & I-55, EXIT 280, West Memphis, AR",35.1464797,-90.1845388
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,"I-76, EXIT 115, Atwood, CO",39.806668,-101.042101
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,"I-70, EXIT 252, Salina, KS",38.8402805,-97.6114237
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,"I-80/94, EXIT 2, Highland, IN",57.5066357,-5.0038367
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,"I-80/94, EXIT 2, Highland, IN",57.5066357,-5.0038367
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,"SR-32, Sardinia                                , OH",40.0912813,9.0305773
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,"I-10, EXIT 50, Ocean Springs, MS",30.4112904,-88.8279165
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,"I-70, EXIT 252, Salina, KS",38.8402805,-97.6114237
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,"I-75, EXIT 62 & US-25, Mount Vernon, KY",40.9125085,-73.8386504
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,"I-75, EXIT 358, Ocala, FL",29.1871986,-82.1400923
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,"I-75, EXIT 358, Ocala, FL",29.1871986,-82.1400923
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,"I-10, EXIT 153 & SR-1, Port Allen, LA",30.45335,-91.2100569
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,"US-41 & SR-10, Lake Village, IN",33.3294799,-91.2850584
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,"I-10, EXIT 92 & SR-95, Duson, LA",30.2378751,-92.1801925
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,"I-10, EXIT 236, New Orleans, LA",29.9561422,-90.0733934
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,"I-70/US-40, EXIT 159 & US-183, Hays, KS",30.0447901,-98.0393127
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,"I-40, EXIT 280 & I-55, EXIT 4, West Memphis, AR",35.1464797,-90.1845388
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,"I-68/US-40, EXIT 22 & US-219, Grantsville                             , MD",38.9234195,-81.0959456
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,"I-15 & 31ST STREET EXIT 277, Great Falls                             , MT",47.5048851,-111.29189
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,"I-94 EXIT 16, Bridgman, MI",41.9430986,-86.5569659
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,"SR-154 & SR-129, Dodge City, KS",37.7527982,-100.0170787
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,"I-75, EXIT 15, Monroe                                  , MI",41.0400423,-75.3249475
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,"I-75, EXIT 15, Monroe                                  , MI",41.0400423,-75.3249475
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,"I-75, EXIT 15, Monroe                                  , MI",41.0400423,-75.3249475
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,"I-75, EXIT 15, Monroe                                  , MI",41.0400423,-75.3249475
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,"I-75, EXIT 15, Monroe                                  , MI",41.0400423,-75.3249475
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,"US-41, Carlisle, IN",54.8944471,-2.9357343
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,"I-65, EXIT 76 & US-31, Taylorsville, IN",40.6676347,-111.9388027
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,"I-70, MM 209, Lawrence, KS",38.9719137,-95.2359403
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,"US-169 & CR-5000, Cherryvale, KS",37.270344,-95.5524788
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,"I-35, MILE MARKER 97, Matfield Green, KS",38.1591843,-96.5605664
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,"I-91, EXIT 4, Springfield, MA",39.7990175,-89.6439575
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,"I-635, EXIT 3, Kansas City, KS",39.100105,-94.5781416
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,"I-80, EXIT 126, Ogallala, NE",41.1248328,-101.7189583
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,"I-15, EXIT 357, Willard                                 , UT",39.0933327,-95.9419336
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,"I-95, EXIT 329, Saint Johns, FL",29.9032284,-81.4145468
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,"I-90/80-IN TOLL RD MM 22E, Portage, IN",41.1496775,-81.2082
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",42.098698,-75.9125187
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",42.098698,-75.9125187
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",42.098698,-75.9125187
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",42.098698,-75.9125187
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,"I-295, EXIT 25, Jacksonville, FL",30.3262247,-81.6579179
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,"I-87, EXIT 16, Gansevoort                              , NY",43.1962051,-73.6513967
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,"I-87, EXIT 16, Gansevoort                              , NY",43.1962051,-73.6513967
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,"I-94, EXIT 5, Hammond, IN",41.6173959,-87.5220108
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,"US-69 & US-135, Jacksonville, TX",30.3262247,-81.6579179
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,"I-8, EXIT 12, Yuma, AZ",32.7254216,-114.6198088
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,"I-71, EXIT 131, Sunbury, OH",40.8619754,-76.7936252
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,"I-71, EXIT 209, Seville, OH",37.3886303,-5.9953403
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,"I-70, EXIT 126 & SR-37, Hebron, OH",42.4716853,-88.432318
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,"I-80 & I-280, EXIT 71, Perrysburg                              , OH",41.5571178,-83.6279321
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,"I-40 & I-35, EXIT 127, Oklahoma City, OK",35.4729886,-97.5170536
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,"I-40, EXIT 166, Choctaw, OK",31.9908095,-88.2821326
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,"I-16, EXIT 51, Dublin                                  , GA",53.3493795,-6.2605593
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,"US-385 & SR-2, Alliance, NE",42.0971897,-102.8707145
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,"I-95, EXIT 104 & SR-207, Ruther Glen, VA",37.9408753,-77.4618647
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,"US-24, Woodburn                                , IN",45.143731,-122.8553725
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,"I-29 EXIT 110, Rock Port, MO",40.4111122,-95.5169286
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,"I-20 EXIT 44, Gilbert, SC",33.3527632,-111.789037
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,"I-26, EXIT 145 & US-601, Orangeburg, SC",33.4054944,-80.778429
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,"US-160 & SR-17, Alamosa, CO",37.5780995,-105.7890452
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,"I-20, EXIT 169 & US-80, Toomsuba, MS",32.418474,-88.5069819
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,"I-29, EXIT 215, Pembina                                 , ND",48.7530787,-97.5532833
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,"US-54/SR-136/SR-3 & US-64, Guymon, OK",36.6828041,-101.4815493
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,"I-35 N, EXIT 4, Laredo                                  , TX",27.5079211,-99.5069834
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,"US-87 & US-191, Moore, MT",35.8156121,-101.9104355
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,"I-75, EXIT 117, Heiskell, TN",36.081816,-84.0539821
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,"I-40 & I-75, EXIT 374, Knoxville, TN",35.9603948,-83.9210261
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn, TX",31.0429718,-104.831628
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn, TX",31.0429718,-104.831628
